variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	k-samples	nk-samples	notes
N0.HOG0029548	1.74E-01	2.31E-07	3.04E-09	9.66E-01	1.52E-01	4.88E-01	GCA_000003515,GCA_000226115,GCA_000349385,GCA_000442125,GCA_000516985,GCA_000963775,GCA_001447215,GCA_001557505,GCA_001600455,GCA_001636725,GCA_001642045,GCA_002081935,GCA_002572855,GCA_002927785,GCA_003012165,GCA_003049485,GCA_003073855,GCA_003118255,GCA_003184365,GCA_003385255,GCA_003671545,GCA_003795315,GCA_003988795	GCA_000002525,GCA_000002945,GCA_000146045,GCA_000146915,GCA_000149925,GCA_000151645,GCA_000182895,GCA_000182925,GCA_000225545,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000354255,GCA_000365145,GCA_000385595,GCA_000400465,GCA_000417875,GCA_000442885,GCA_000464535,GCA_000467715,GCA_000498615,GCA_000604185,GCA_000611775,GCA_000708205,GCA_000721755,GCA_000732205,GCA_000738655,GCA_000812075,GCA_000812885,GCA_000836135,GCA_000836295,GCA_000836435,GCA_000968615,GCA_001179705,GCA_001270325,GCA_001481775,GCA_001510565,GCA_001513895,GCA_001563115,GCA_001566295,GCA_001599595,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001660795,GCA_001661345,GCA_001661425,GCA_001662655,GCA_001692735,GCA_001692915,GCA_001929475,GCA_001956345,GCA_002105025,GCA_002105095,GCA_002105105,GCA_002127715,GCA_002162545,GCA_002240705,GCA_002319055,GCA_002368545,GCA_002374405,GCA_002591845,GCA_002778095,GCA_002798055,GCA_002818225,GCA_002865625,GCA_002916505,GCA_002989075,GCA_003013795,GCA_003016335,GCA_003019875,GCA_003019895,GCA_003144135,GCA_003264845,GCA_003313425,GCA_003574815,GCA_003610855,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003868215,GCA_003988815,GCA_003988945,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004155245,GCA_004216415,GCA_004335205,GCA_900073065,GCA_900119595,GCA_900120095,GCA_900290415,GCA_900465125,GCA_900536445,GCA_900618795	
N0.HOG0027491	3.56E-01	5.17E-12	3.12E-09	8.10E-01	1.27E-01	4.87E-01	GCA_000146915,GCA_000225545,GCA_000349385,GCA_000354255,GCA_000365145,GCA_000442125,GCA_000464535,GCA_000467715,GCA_000516985,GCA_000611775,GCA_000738655,GCA_000812885,GCA_000836435,GCA_000963775,GCA_001481775,GCA_001557505,GCA_001563115,GCA_001566295,GCA_001599595,GCA_001600455,GCA_001642045,GCA_001692735,GCA_001692915,GCA_001956345,GCA_002081935,GCA_002105025,GCA_002105095,GCA_002162545,GCA_002865625,GCA_002927785,GCA_002989075,GCA_003012165,GCA_003049485,GCA_003073855,GCA_003118255,GCA_003184365,GCA_003313425,GCA_003385255,GCA_003574815,GCA_003671545,GCA_003788565,GCA_003868215,GCA_003988795,GCA_004335205,GCA_900073065,GCA_900290415,GCA_900536445	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000149925,GCA_000151645,GCA_000182895,GCA_000182925,GCA_000226115,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000385595,GCA_000400465,GCA_000417875,GCA_000442885,GCA_000498615,GCA_000604185,GCA_000708205,GCA_000721755,GCA_000732205,GCA_000812075,GCA_000836135,GCA_000836295,GCA_000968615,GCA_001179705,GCA_001270325,GCA_001447215,GCA_001510565,GCA_001513895,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001636725,GCA_001660795,GCA_001661345,GCA_001661425,GCA_001662655,GCA_001929475,GCA_002105105,GCA_002127715,GCA_002240705,GCA_002319055,GCA_002368545,GCA_002374405,GCA_002572855,GCA_002591845,GCA_002778095,GCA_002798055,GCA_002818225,GCA_002916505,GCA_003013795,GCA_003016335,GCA_003019875,GCA_003019895,GCA_003144135,GCA_003264845,GCA_003610855,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788615,GCA_003790465,GCA_003795315,GCA_003988815,GCA_003988945,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004155245,GCA_004216415,GCA_900119595,GCA_900120095,GCA_900465125,GCA_900618795	
N0.HOG0038526	1.21E-01	1.23E-07	3.45E-09	1.30E+00	2.05E-01	4.86E-01	GCA_000349385,GCA_000516985,GCA_000963775,GCA_001447215,GCA_001481775,GCA_001557505,GCA_001563115,GCA_001600455,GCA_002081935,GCA_002105095,GCA_002798055,GCA_003012165,GCA_003019895,GCA_003671545,GCA_003795315,GCA_004155245	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000146915,GCA_000149925,GCA_000151645,GCA_000182895,GCA_000182925,GCA_000225545,GCA_000226115,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000354255,GCA_000365145,GCA_000385595,GCA_000400465,GCA_000417875,GCA_000442125,GCA_000442885,GCA_000464535,GCA_000467715,GCA_000498615,GCA_000604185,GCA_000611775,GCA_000708205,GCA_000721755,GCA_000732205,GCA_000738655,GCA_000812075,GCA_000812885,GCA_000836135,GCA_000836295,GCA_000836435,GCA_000968615,GCA_001179705,GCA_001270325,GCA_001510565,GCA_001513895,GCA_001566295,GCA_001599595,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001636725,GCA_001642045,GCA_001660795,GCA_001661345,GCA_001661425,GCA_001662655,GCA_001692735,GCA_001692915,GCA_001929475,GCA_001956345,GCA_002105025,GCA_002105105,GCA_002127715,GCA_002162545,GCA_002240705,GCA_002319055,GCA_002368545,GCA_002374405,GCA_002572855,GCA_002591845,GCA_002778095,GCA_002818225,GCA_002865625,GCA_002916505,GCA_002927785,GCA_002989075,GCA_003013795,GCA_003016335,GCA_003019875,GCA_003049485,GCA_003073855,GCA_003118255,GCA_003144135,GCA_003184365,GCA_003264845,GCA_003313425,GCA_003385255,GCA_003574815,GCA_003610855,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003868215,GCA_003988795,GCA_003988815,GCA_003988945,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004216415,GCA_004335205,GCA_900073065,GCA_900119595,GCA_900120095,GCA_900290415,GCA_900465125,GCA_900536445,GCA_900618795	
N0.HOG0028599	3.03E-01	4.48E-10	4.54E-09	8.31E-01	1.32E-01	4.83E-01	GCA_000146915,GCA_000182895,GCA_000261425,GCA_000349385,GCA_000354255,GCA_000365145,GCA_000385595,GCA_000442125,GCA_000467715,GCA_000516985,GCA_000963775,GCA_001179705,GCA_001270325,GCA_001447215,GCA_001481775,GCA_001563115,GCA_001566295,GCA_001599595,GCA_001600455,GCA_001642045,GCA_001662655,GCA_001692735,GCA_001692915,GCA_002081935,GCA_002105025,GCA_002105095,GCA_002572855,GCA_002865625,GCA_003012165,GCA_003013795,GCA_003016335,GCA_003073855,GCA_003313425,GCA_003574815,GCA_003795315,GCA_003988795,GCA_004155245,GCA_900073065,GCA_900290415,GCA_900465125	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000149925,GCA_000151645,GCA_000182925,GCA_000225545,GCA_000226115,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000400465,GCA_000417875,GCA_000442885,GCA_000464535,GCA_000498615,GCA_000604185,GCA_000611775,GCA_000708205,GCA_000721755,GCA_000732205,GCA_000738655,GCA_000812075,GCA_000812885,GCA_000836135,GCA_000836295,GCA_000836435,GCA_000968615,GCA_001510565,GCA_001513895,GCA_001557505,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001636725,GCA_001660795,GCA_001661345,GCA_001661425,GCA_001929475,GCA_001956345,GCA_002105105,GCA_002127715,GCA_002162545,GCA_002240705,GCA_002319055,GCA_002368545,GCA_002374405,GCA_002591845,GCA_002778095,GCA_002798055,GCA_002818225,GCA_002916505,GCA_002927785,GCA_002989075,GCA_003019875,GCA_003019895,GCA_003049485,GCA_003118255,GCA_003144135,GCA_003184365,GCA_003264845,GCA_003385255,GCA_003610855,GCA_003671545,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003868215,GCA_003988815,GCA_003988945,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004216415,GCA_004335205,GCA_900119595,GCA_900120095,GCA_900536445,GCA_900618795	
N0.HOG0028739	6.36E-01	3.03E-15	5.45E-09	9.32E-01	1.49E-01	4.81E-01	GCA_000146915,GCA_000182895,GCA_000261425,GCA_000328475,GCA_000338955,GCA_000349385,GCA_000354255,GCA_000385595,GCA_000400465,GCA_000417875,GCA_000442125,GCA_000464535,GCA_000467715,GCA_000516985,GCA_000611775,GCA_000708205,GCA_000721755,GCA_000732205,GCA_000738655,GCA_000836135,GCA_000836295,GCA_000963775,GCA_001179705,GCA_001270325,GCA_001447215,GCA_001481775,GCA_001513895,GCA_001557505,GCA_001563115,GCA_001566295,GCA_001599595,GCA_001599695,GCA_001600175,GCA_001600455,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636725,GCA_001642045,GCA_001660795,GCA_001662655,GCA_001692735,GCA_001692915,GCA_001956345,GCA_002081935,GCA_002105025,GCA_002105095,GCA_002105105,GCA_002127715,GCA_002162545,GCA_002368545,GCA_002591845,GCA_002778095,GCA_002798055,GCA_002865625,GCA_002916505,GCA_002927785,GCA_002989075,GCA_003012165,GCA_003013795,GCA_003016335,GCA_003019895,GCA_003049485,GCA_003073855,GCA_003118255,GCA_003144135,GCA_003184365,GCA_003264845,GCA_003313425,GCA_003385255,GCA_003574815,GCA_003671545,GCA_003795315,GCA_003868215,GCA_003988795,GCA_003988945,GCA_004155245,GCA_004216415,GCA_004335205,GCA_900073065,GCA_900120095,GCA_900465125,GCA_900536445,GCA_900618795	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000149925,GCA_000151645,GCA_000182925,GCA_000225545,GCA_000226115,GCA_000313485,GCA_000365145,GCA_000442885,GCA_000498615,GCA_000604185,GCA_000812075,GCA_000812885,GCA_000836435,GCA_000968615,GCA_001510565,GCA_001599975,GCA_001600815,GCA_001636715,GCA_001661345,GCA_001661425,GCA_001929475,GCA_002240705,GCA_002319055,GCA_002374405,GCA_002572855,GCA_002818225,GCA_003019875,GCA_003610855,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003988815,GCA_003990805,GCA_004000055,GCA_004014935,GCA_900119595,GCA_900290415	
N0.HOG0030979	2.80E-01	5.13E-10	5.71E-09	8.06E-01	1.29E-01	4.80E-01	GCA_000225545,GCA_000349385,GCA_000354255,GCA_000442125,GCA_000464535,GCA_000467715,GCA_000516985,GCA_000738655,GCA_000836435,GCA_000963775,GCA_001447215,GCA_001557505,GCA_001563115,GCA_001566295,GCA_001600455,GCA_001636725,GCA_001660795,GCA_001662655,GCA_001692915,GCA_002081935,GCA_002105025,GCA_002105095,GCA_002368545,GCA_002865625,GCA_003012165,GCA_003016335,GCA_003049485,GCA_003073855,GCA_003184365,GCA_003264845,GCA_003385255,GCA_003671545,GCA_003788565,GCA_003795315,GCA_900073065,GCA_900290415,GCA_900618795	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000146915,GCA_000149925,GCA_000151645,GCA_000182895,GCA_000182925,GCA_000226115,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000365145,GCA_000385595,GCA_000400465,GCA_000417875,GCA_000442885,GCA_000498615,GCA_000604185,GCA_000611775,GCA_000708205,GCA_000721755,GCA_000732205,GCA_000812075,GCA_000812885,GCA_000836135,GCA_000836295,GCA_000968615,GCA_001179705,GCA_001270325,GCA_001481775,GCA_001510565,GCA_001513895,GCA_001599595,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001642045,GCA_001661345,GCA_001661425,GCA_001692735,GCA_001929475,GCA_001956345,GCA_002105105,GCA_002127715,GCA_002162545,GCA_002240705,GCA_002319055,GCA_002374405,GCA_002572855,GCA_002591845,GCA_002778095,GCA_002798055,GCA_002818225,GCA_002916505,GCA_002927785,GCA_002989075,GCA_003013795,GCA_003019875,GCA_003019895,GCA_003118255,GCA_003144135,GCA_003313425,GCA_003574815,GCA_003610855,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788615,GCA_003790465,GCA_003868215,GCA_003988795,GCA_003988815,GCA_003988945,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004155245,GCA_004216415,GCA_004335205,GCA_900119595,GCA_900120095,GCA_900465125,GCA_900536445	
N0.HOG0040372	6.82E-02	2.24E-06	7.37E-09	1.52E+00	2.45E-01	4.77E-01	GCA_000349385,GCA_000516985,GCA_001447215,GCA_001600455,GCA_002081935,GCA_002105095,GCA_003671545,GCA_003795315,GCA_003988795	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000146915,GCA_000149925,GCA_000151645,GCA_000182895,GCA_000182925,GCA_000225545,GCA_000226115,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000354255,GCA_000365145,GCA_000385595,GCA_000400465,GCA_000417875,GCA_000442125,GCA_000442885,GCA_000464535,GCA_000467715,GCA_000498615,GCA_000604185,GCA_000611775,GCA_000708205,GCA_000721755,GCA_000732205,GCA_000738655,GCA_000812075,GCA_000812885,GCA_000836135,GCA_000836295,GCA_000836435,GCA_000963775,GCA_000968615,GCA_001179705,GCA_001270325,GCA_001481775,GCA_001510565,GCA_001513895,GCA_001557505,GCA_001563115,GCA_001566295,GCA_001599595,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001636725,GCA_001642045,GCA_001660795,GCA_001661345,GCA_001661425,GCA_001662655,GCA_001692735,GCA_001692915,GCA_001929475,GCA_001956345,GCA_002105025,GCA_002105105,GCA_002127715,GCA_002162545,GCA_002240705,GCA_002319055,GCA_002368545,GCA_002374405,GCA_002572855,GCA_002591845,GCA_002778095,GCA_002798055,GCA_002818225,GCA_002865625,GCA_002916505,GCA_002927785,GCA_002989075,GCA_003012165,GCA_003013795,GCA_003016335,GCA_003019875,GCA_003019895,GCA_003049485,GCA_003073855,GCA_003118255,GCA_003144135,GCA_003184365,GCA_003264845,GCA_003313425,GCA_003385255,GCA_003574815,GCA_003610855,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003868215,GCA_003988815,GCA_003988945,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004155245,GCA_004216415,GCA_004335205,GCA_900073065,GCA_900119595,GCA_900120095,GCA_900290415,GCA_900465125,GCA_900536445,GCA_900618795	
N0.HOG0032359	3.03E-01	2.06E-10	9.19E-09	8.24E-01	1.34E-01	4.74E-01	GCA_000261425,GCA_000349385,GCA_000385595,GCA_000467715,GCA_000498615,GCA_000516985,GCA_000732205,GCA_000812885,GCA_000963775,GCA_001179705,GCA_001270325,GCA_001447215,GCA_001513895,GCA_001557505,GCA_001563115,GCA_001600455,GCA_001642045,GCA_001662655,GCA_002081935,GCA_002105025,GCA_002105095,GCA_002127715,GCA_002162545,GCA_002989075,GCA_003012165,GCA_003013795,GCA_003016335,GCA_003019895,GCA_003073855,GCA_003264845,GCA_003313425,GCA_003574815,GCA_003671545,GCA_003795315,GCA_003988795,GCA_004335205,GCA_900073065,GCA_900465125,GCA_900536445,GCA_900618795	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000146915,GCA_000149925,GCA_000151645,GCA_000182895,GCA_000182925,GCA_000225545,GCA_000226115,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000354255,GCA_000365145,GCA_000400465,GCA_000417875,GCA_000442125,GCA_000442885,GCA_000464535,GCA_000604185,GCA_000611775,GCA_000708205,GCA_000721755,GCA_000738655,GCA_000812075,GCA_000836135,GCA_000836295,GCA_000836435,GCA_000968615,GCA_001481775,GCA_001510565,GCA_001566295,GCA_001599595,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001636725,GCA_001660795,GCA_001661345,GCA_001661425,GCA_001692735,GCA_001692915,GCA_001929475,GCA_001956345,GCA_002105105,GCA_002240705,GCA_002319055,GCA_002368545,GCA_002374405,GCA_002572855,GCA_002591845,GCA_002778095,GCA_002798055,GCA_002818225,GCA_002865625,GCA_002916505,GCA_002927785,GCA_003019875,GCA_003049485,GCA_003118255,GCA_003144135,GCA_003184365,GCA_003385255,GCA_003610855,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003868215,GCA_003988815,GCA_003988945,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004155245,GCA_004216415,GCA_900119595,GCA_900120095,GCA_900290415	
N0.HOG0035202	1.52E-01	7.20E-07	1.11E-08	9.35E-01	1.53E-01	4.72E-01	GCA_000146915,GCA_000354255,GCA_000385595,GCA_000464535,GCA_000467715,GCA_000721755,GCA_000963775,GCA_001447215,GCA_001563115,GCA_001600455,GCA_001692915,GCA_002081935,GCA_002105025,GCA_003012165,GCA_003016335,GCA_003073855,GCA_003184365,GCA_003264845,GCA_003990805,GCA_900290415	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000149925,GCA_000151645,GCA_000182895,GCA_000182925,GCA_000225545,GCA_000226115,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000349385,GCA_000365145,GCA_000400465,GCA_000417875,GCA_000442125,GCA_000442885,GCA_000498615,GCA_000516985,GCA_000604185,GCA_000611775,GCA_000708205,GCA_000732205,GCA_000738655,GCA_000812075,GCA_000812885,GCA_000836135,GCA_000836295,GCA_000836435,GCA_000968615,GCA_001179705,GCA_001270325,GCA_001481775,GCA_001510565,GCA_001513895,GCA_001557505,GCA_001566295,GCA_001599595,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001636725,GCA_001642045,GCA_001660795,GCA_001661345,GCA_001661425,GCA_001662655,GCA_001692735,GCA_001929475,GCA_001956345,GCA_002105095,GCA_002105105,GCA_002127715,GCA_002162545,GCA_002240705,GCA_002319055,GCA_002368545,GCA_002374405,GCA_002572855,GCA_002591845,GCA_002778095,GCA_002798055,GCA_002818225,GCA_002865625,GCA_002916505,GCA_002927785,GCA_002989075,GCA_003013795,GCA_003019875,GCA_003019895,GCA_003049485,GCA_003118255,GCA_003144135,GCA_003313425,GCA_003385255,GCA_003574815,GCA_003610855,GCA_003671545,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003795315,GCA_003868215,GCA_003988795,GCA_003988815,GCA_003988945,GCA_004000055,GCA_004014935,GCA_004155245,GCA_004216415,GCA_004335205,GCA_900073065,GCA_900119595,GCA_900120095,GCA_900465125,GCA_900536445,GCA_900618795	
N0.HOG0003392	3.26E-01	3.29E-11	1.26E-08	7.77E-01	1.28E-01	4.70E-01	GCA_000003515,GCA_000146915,GCA_000349385,GCA_000354255,GCA_000442125,GCA_000464535,GCA_000516985,GCA_000604185,GCA_000611775,GCA_000812075,GCA_000812885,GCA_000963775,GCA_001270325,GCA_001447215,GCA_001510565,GCA_001557505,GCA_001599595,GCA_001600455,GCA_001660795,GCA_001692735,GCA_001692915,GCA_001956345,GCA_002081935,GCA_002105025,GCA_002105095,GCA_002240705,GCA_002368545,GCA_002927785,GCA_002989075,GCA_003012165,GCA_003016335,GCA_003073855,GCA_003184365,GCA_003264845,GCA_003313425,GCA_003385255,GCA_003574815,GCA_003671545,GCA_003988795,GCA_003988815,GCA_004335205,GCA_900536445,GCA_900618795	GCA_000002525,GCA_000002945,GCA_000146045,GCA_000149925,GCA_000151645,GCA_000182895,GCA_000182925,GCA_000225545,GCA_000226115,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000365145,GCA_000385595,GCA_000400465,GCA_000417875,GCA_000442885,GCA_000467715,GCA_000498615,GCA_000708205,GCA_000721755,GCA_000732205,GCA_000738655,GCA_000836135,GCA_000836295,GCA_000836435,GCA_000968615,GCA_001179705,GCA_001481775,GCA_001513895,GCA_001563115,GCA_001566295,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001636725,GCA_001642045,GCA_001661345,GCA_001661425,GCA_001662655,GCA_001929475,GCA_002105105,GCA_002127715,GCA_002162545,GCA_002319055,GCA_002374405,GCA_002572855,GCA_002591845,GCA_002778095,GCA_002798055,GCA_002818225,GCA_002865625,GCA_002916505,GCA_003013795,GCA_003019875,GCA_003019895,GCA_003049485,GCA_003118255,GCA_003144135,GCA_003610855,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003795315,GCA_003868215,GCA_003988945,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004155245,GCA_004216415,GCA_900073065,GCA_900119595,GCA_900120095,GCA_900290415,GCA_900465125	
N0.HOG0031457	2.27E-01	1.84E-07	1.47E-08	8.24E-01	1.36E-01	4.68E-01	GCA_000349385,GCA_000365145,GCA_000385595,GCA_000467715,GCA_000516985,GCA_000611775,GCA_000836435,GCA_000963775,GCA_001270325,GCA_001481775,GCA_001557505,GCA_001599595,GCA_001600455,GCA_001636725,GCA_001662655,GCA_001692915,GCA_002081935,GCA_002105025,GCA_002368545,GCA_002798055,GCA_002865625,GCA_003019875,GCA_003073855,GCA_003184365,GCA_003574815,GCA_003671545,GCA_003988795,GCA_003988815,GCA_003990805,GCA_900073065	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000146915,GCA_000149925,GCA_000151645,GCA_000182895,GCA_000182925,GCA_000225545,GCA_000226115,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000354255,GCA_000400465,GCA_000417875,GCA_000442125,GCA_000442885,GCA_000464535,GCA_000498615,GCA_000604185,GCA_000708205,GCA_000721755,GCA_000732205,GCA_000738655,GCA_000812075,GCA_000812885,GCA_000836135,GCA_000836295,GCA_000968615,GCA_001179705,GCA_001447215,GCA_001510565,GCA_001513895,GCA_001563115,GCA_001566295,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001642045,GCA_001660795,GCA_001661345,GCA_001661425,GCA_001692735,GCA_001929475,GCA_001956345,GCA_002105095,GCA_002105105,GCA_002127715,GCA_002162545,GCA_002240705,GCA_002319055,GCA_002374405,GCA_002572855,GCA_002591845,GCA_002778095,GCA_002818225,GCA_002916505,GCA_002927785,GCA_002989075,GCA_003012165,GCA_003013795,GCA_003016335,GCA_003019895,GCA_003049485,GCA_003118255,GCA_003144135,GCA_003264845,GCA_003313425,GCA_003385255,GCA_003610855,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003795315,GCA_003868215,GCA_003988945,GCA_004000055,GCA_004014935,GCA_004155245,GCA_004216415,GCA_004335205,GCA_900119595,GCA_900120095,GCA_900290415,GCA_900465125,GCA_900536445,GCA_900618795	
N0.HOG0009094	2.05E-01	6.94E-10	1.71E-08	9.53E-01	1.58E-01	4.67E-01	GCA_000146915,GCA_000354255,GCA_000498615,GCA_000732205,GCA_000963775,GCA_001270325,GCA_001447215,GCA_001481775,GCA_001566295,GCA_001599595,GCA_001600455,GCA_001636725,GCA_001642045,GCA_002162545,GCA_002368545,GCA_003012165,GCA_003016335,GCA_003073855,GCA_003313425,GCA_003385255,GCA_003574815,GCA_003671545,GCA_003988795,GCA_004155245,GCA_004335205,GCA_900465125,GCA_900536445	GCA_000002525,GCA_000002945,GCA_000003515,GCA_000146045,GCA_000149925,GCA_000151645,GCA_000182895,GCA_000182925,GCA_000225545,GCA_000226115,GCA_000261425,GCA_000313485,GCA_000328475,GCA_000338955,GCA_000349385,GCA_000365145,GCA_000385595,GCA_000400465,GCA_000417875,GCA_000442125,GCA_000442885,GCA_000464535,GCA_000467715,GCA_000516985,GCA_000604185,GCA_000611775,GCA_000708205,GCA_000721755,GCA_000738655,GCA_000812075,GCA_000812885,GCA_000836135,GCA_000836295,GCA_000836435,GCA_000968615,GCA_001179705,GCA_001510565,GCA_001513895,GCA_001557505,GCA_001563115,GCA_001599695,GCA_001599975,GCA_001600175,GCA_001600815,GCA_001604925,GCA_001619985,GCA_001630345,GCA_001636715,GCA_001660795,GCA_001661345,GCA_001661425,GCA_001662655,GCA_001692735,GCA_001692915,GCA_001929475,GCA_001956345,GCA_002081935,GCA_002105025,GCA_002105095,GCA_002105105,GCA_002127715,GCA_002240705,GCA_002319055,GCA_002374405,GCA_002572855,GCA_002591845,GCA_002778095,GCA_002798055,GCA_002818225,GCA_002865625,GCA_002916505,GCA_002927785,GCA_002989075,GCA_003013795,GCA_003019875,GCA_003019895,GCA_003049485,GCA_003118255,GCA_003144135,GCA_003184365,GCA_003264845,GCA_003610855,GCA_003705295,GCA_003705335,GCA_003705835,GCA_003706095,GCA_003706495,GCA_003706805,GCA_003707925,GCA_003788565,GCA_003788615,GCA_003790465,GCA_003795315,GCA_003868215,GCA_003988815,GCA_003988945,GCA_003990805,GCA_004000055,GCA_004014935,GCA_004216415,GCA_900073065,GCA_900119595,GCA_900120095,GCA_900290415,GCA_900618795	
